# BUSCO version is: 5.8.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	h2tg000034l_path	25165	12734	-	3761.3	2652	https://www.orthodb.org/v10?query=0at4891	Midasin
6at4891	Complete	h2tg000144l_path	55683	66917	+	4231.5	2825	https://www.orthodb.org/v10?query=6at4891	PIK-related kinase
23at4891	Complete	h2tg000030l_path	63647	54534	-	2401.4	2108	https://www.orthodb.org/v10?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Fragmented	h2tg000019l_path	170132	165744	-	2140.9	1146	https://www.orthodb.org/v10?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	h2tg000033l_path	35842	26981	-	1703.5	1686	https://www.orthodb.org/v10?query=50at4891	Protein CSF1
61at4891	Fragmented	h2tg000130l_path	2007	3278	+	1011.1	419	https://www.orthodb.org/v10?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Fragmented	h2tg000146l_path	62025	58225	-	1570.4	910	https://www.orthodb.org/v10?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	h2tg000073l_path	13079	6443	-	3344.0	1831	https://www.orthodb.org/v10?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	h2tg000004l_path	81590	88960	+	2013.2	1449	https://www.orthodb.org/v10?query=93at4891	protein kinase regulator activity
95at4891	Complete	h2tg000126l_path	67478	61046	-	3257.7	1790	https://www.orthodb.org/v10?query=95at4891	Glutamate synthase
115at4891	Complete	h2tg000014l_path	112391	106008	-	1727.2	1421	https://www.orthodb.org/v10?query=115at4891	transcriptional activator leucine zipper
145at4891	Complete	h2tg000117l_path	162972	170072	+	1224.7	1235	https://www.orthodb.org/v10?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	h2tg000110l_path	59379	51043	-	349.0	245	https://www.orthodb.org/v10?query=154at4891	Serine/threonine-protein kinase Tel1
170at4891	Complete	h2tg000048l_path	127759	121119	-	2294.0	1578	https://www.orthodb.org/v10?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	h2tg000063l_path	14456	9126	-	1106.0	888	https://www.orthodb.org/v10?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Complete	h2tg000004l_path	57566	52628	-	2550.8	1455	https://www.orthodb.org/v10?query=227at4891	Clathrin heavy chain
245at4891	Complete	h2tg000078l_path	25315	30303	+	2438.1	1332	https://www.orthodb.org/v10?query=245at4891	DNA-directed RNA polymerase subunit
274at4891	Complete	h2tg000024l_path	100708	106383	+	2545.6	1509	https://www.orthodb.org/v10?query=274at4891	Fatty acid synthase
300at4891	Complete	h2tg000002l_path	151986	158339	+	1260.8	869	https://www.orthodb.org/v10?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
331at4891	Complete	h2tg000020l_path	46006	40700	-	1263.6	1194	https://www.orthodb.org/v10?query=331at4891	BP28, C-terminal domain
364at4891	Complete	h2tg000100l_path	63417	68180	+	1870.1	1228	https://www.orthodb.org/v10?query=364at4891	Pentafunctional AROM polypeptide
365at4891	Complete	h2tg000126l_path	122407	117233	-	2533.2	1303	https://www.orthodb.org/v10?query=365at4891	DNA-directed RNA polymerase subunit
369at4891	Complete	h2tg000029l_path	189336	184749	-	1361.4	876	https://www.orthodb.org/v10?query=369at4891	Phospholipase
394at4891	Complete	h2tg000095l_path	40512	46775	+	1243.5	1089	https://www.orthodb.org/v10?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	h2tg000055l_path	285747	281368	-	2254.6	1185	https://www.orthodb.org/v10?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	h2tg000076l_path	43862	40209	-	2184.9	1049	https://www.orthodb.org/v10?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
425at4891	Fragmented	h2tg000087l_path	54055	51446	-	1528.3	759	https://www.orthodb.org/v10?query=425at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
431at4891	Fragmented	h2tg000117l_path	129707	127068	-	1191.9	710	https://www.orthodb.org/v10?query=431at4891	L-aminoadipate-semialdehyde dehydrogenase
443at4891	Complete	h2tg000022l_path	83215	87807	+	1095.3	816	https://www.orthodb.org/v10?query=443at4891	Vacuolar membrane-associated protein IML1
455at4891	Complete	h2tg000007l_path	48550	52898	+	954.6	927	https://www.orthodb.org/v10?query=455at4891	Transcription elongation factor Spt6
468at4891	Complete	h2tg000066l_path	76104	72010	-	1400.9	897	https://www.orthodb.org/v10?query=468at4891	P-type ATPase
469at4891	Complete	h2tg000080l_path	95068	90590	-	633.6	810	https://www.orthodb.org/v10?query=469at4891	Rho GTPase activation protein
471at4891	Complete	h2tg000140l_path	114184	107690	-	833.0	955	https://www.orthodb.org/v10?query=471at4891	Ras guanine nucleotide exchange factor domain superfamily
510at4891	Complete	h2tg000103l_path	8653	12315	+	1184.4	943	https://www.orthodb.org/v10?query=510at4891	Protein MSN5
514at4891	Complete	h2tg000013l_path	26837	32422	+	1482.8	1327	https://www.orthodb.org/v10?query=514at4891	Proteasome component ECM29
515at4891	Complete	h2tg000140l_path	136732	141081	+	1573.3	899	https://www.orthodb.org/v10?query=515at4891	Chromo domain
519at4891	Complete	h2tg000114l_path	28343	34838	+	1627.4	1481	https://www.orthodb.org/v10?query=519at4891	Armadillo-type fold
528at4891	Fragmented	h2tg000006l_path	251719	247664	-	1216.7	779	https://www.orthodb.org/v10?query=528at4891	PurM-like, C-terminal domain
535at4891	Duplicated	h2tg000110l_path	75268	79735	+	840.2	824	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
535at4891	Duplicated	h2tg000140l_path	3535	23	-	720.1	790	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
540at4891	Complete	h2tg000042l_path	53115	48444	-	1035.4	1199	https://www.orthodb.org/v10?query=540at4891	Nucleoporin Nup188
569at4891	Complete	h2tg000082l_path	91875	87793	-	1067.1	769	https://www.orthodb.org/v10?query=569at4891	DNA polymerase
578at4891	Complete	h2tg000128l_path	42826	46895	+	884.0	946	https://www.orthodb.org/v10?query=578at4891	pre-mRNA 3'-end processing factor CF II
594at4891	Missing
630at4891	Complete	h2tg000101l_path	10343	4971	-	1747.6	1233	https://www.orthodb.org/v10?query=630at4891	Sec7, C-terminal
631at4891	Complete	h2tg000108l_path	41899	37922	-	1687.6	931	https://www.orthodb.org/v10?query=631at4891	P-type ATPase
652at4891	Complete	h2tg000069l_path	33533	38623	+	861.1	891	https://www.orthodb.org/v10?query=652at4891	Anaphase-promoting complex (APC), subunit 1 (meiotic check point regulator/Tsg24)
662at4891	Complete	h2tg000019l_path	47398	41435	-	604.4	911	https://www.orthodb.org/v10?query=662at4891	Armadillo-type fold
665at4891	Complete	h2tg000126l_path	110017	106421	-	1622.3	983	https://www.orthodb.org/v10?query=665at4891	Coatomer subunit alpha
676at4891	Complete	h2tg000134l_path	11854	14687	+	1391.1	778	https://www.orthodb.org/v10?query=676at4891	P-type ATPase
692at4891	Fragmented	h2tg000067l_path	5784	1342	-	968.0	995	https://www.orthodb.org/v10?query=692at4891	nucleic acid-binding protein
693at4891	Duplicated	h2tg000073l_path	36412	32468	-	1022.1	844	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
693at4891	Duplicated	h2tg000095l_path	7194	3385	-	980.3	842	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
